Model;lr start;lr reduction;batch size;F1 Test;Accuracy Test;F1 Test - Class 0;F1 Test - Class 1;F1 Test - Class 2;F1 Test - Class 3;F1 Test - Class 4
DNN3;0.0005;exp. decay;512;0.8240;0.9543;0.9743;0.5882;0.9079;0.6786;0.9706
CNN1;0.0005;exp. decay;512;0.8834;0.9749;0.9863;0.7340;0.9552;0.7513;0.9901
CNN2;0.0005;exp. decay;512;0.8683;0.9736;0.9857;0.7417;0.9586;0.6651;0.9904
CNN3;0.0005;exp. decay;512;0.8376;0.9647;0.9803;0.6855;0.9572;0.5787;0.9861
CNN4;0.0005;exp. decay;512;0.8672;0.9745;0.9862;0.7676;0.9584;0.6356;0.9870
CNN7;0.0005;exp. decay;512;0.9117;0.9828;0.9910;0.8157;0.9525;0.8068;0.9925
CNN8;0.0005;exp. decay;512;0.8996;0.9799;0.9893;0.7800;0.9628;0.7745;0.9913
CNN9;0.0005;exp. decay;512;0.8626;0.9701;0.9833;0.7293;0.9481;0.6651;0.9870
LSTM1;0.001;exp. decay;512;0.7134;0.9058;0.9450;0.4635;0.8385;0.4012;0.9188
LSTM2;0.001;exp. decay;512;0.8208;0.9547;0.9757;0.6480;0.8906;0.6355;0.9541
