Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.9762805087658989,0.9717929248337159,0.9717929248337159,0.9763117976594339,5.984487295150757
LGBMClassifier,0.9735304228257133,0.9702681146624286,0.9702681146624286,0.9736142451562972,0.4942014217376709
ExtraTreesClassifier,0.9766242695084222,0.969371357937489,0.969371357937489,0.9765884134355075,1.4179112911224365
RandomForestClassifier,0.9700928154004813,0.965227500147154,0.9652275001471541,0.9701655754214529,11.184989213943481
BaggingClassifier,0.9432794774836714,0.9458961681087763,0.9458961681087763,0.9441267104960197,18.51225709915161
SVC,0.912341010656583,0.9199081758785096,0.9199081758785096,0.9144705142952293,9.061347007751465
KNeighborsClassifier,0.8965280165005156,0.9138951674612985,0.9138951674612985,0.8999156781599444,0.2340230941772461
DecisionTreeClassifier,0.9082158817463045,0.8938739772794161,0.893873977279416,0.9089292288858235,2.750129222869873
LabelPropagation,0.8662770711584737,0.8902831243745952,0.8902831243745952,0.8715809143710774,4.712893724441528
LabelSpreading,0.8662770711584737,0.8902831243745952,0.8902831243745952,0.8715809143710774,8.719962358474731
ExtraTreeClassifier,0.8899965623925747,0.8812549296603684,0.8812549296603683,0.8917905821669935,0.06218552589416504
NuSVC,0.8315572361636301,0.8590164223909589,0.8590164223909589,0.8390115295656865,20.878897428512573
AdaBoostClassifier,0.7954623581986937,0.8184384013185002,0.8184384013185002,0.804798913632478,10.451761484146118
QuadraticDiscriminantAnalysis,0.7700240632519766,0.792840367296486,0.792840367296486,0.7809115873501906,0.21910524368286133
LinearSVC,0.7844620144379512,0.789542056624875,0.789542056624875,0.7931159533983335,2.193321466445923
LogisticRegression,0.7851495359229976,0.7881184884336925,0.7881184884336925,0.7935640755392767,1.3400704860687256
CalibratedClassifierCV,0.7848057751804743,0.7859806345282241,0.7859806345282241,0.7930685368623994,8.757382154464722
RidgeClassifierCV,0.755586112066002,0.7813205603625876,0.7813205603625876,0.767523402938853,1.0577006340026855
RidgeClassifier,0.755586112066002,0.780940608629113,0.7809406086291131,0.7675039306776429,0.0794374942779541
LinearDiscriminantAnalysis,0.7548985905809557,0.7804644181529226,0.7804644181529226,0.7668694603310859,0.6509299278259277
SGDClassifier,0.7848057751804743,0.7749620342574608,0.7749620342574607,0.7918738295146405,0.5185551643371582
Perceptron,0.763836369886559,0.7509394313967861,0.7509394313967863,0.7718611656183826,0.0990746021270752
PassiveAggressiveClassifier,0.7067720866277071,0.6829192418623815,0.6829192418623816,0.7171996363816626,0.13322138786315918
GaussianNB,0.6094877964936404,0.67671051857084,0.67671051857084,0.6270206542106032,0.07098746299743652
BernoulliNB,0.6132691646613957,0.6432341515098005,0.6432341515098005,0.6332544740242653,0.08471918106079102
NearestCentroid,0.5864558267445857,0.6326417093413386,0.6326417093413386,0.6066020492863624,0.09111690521240234
DummyClassifier,0.27810244070127194,0.5,0.5,0.1210246769915702,0.046604156494140625
